gene,log2FoldChange,AveExpr,t,pvalue,padj,B
SNORD94                  ,1.1087360817846617,2.691200526250083,5.192930957279406,2.3807743814959673e-06,0.00025155608618277766,4.6384187548161115
SPACA1                   ,-1.0514427610179835,-3.7080830208278,-3.78012224075166,0.00035161045280183615,0.00783680589730003,-0.007381780953119588
TBX2                     ,1.1760447956851892,0.5541895253233542,5.9125871319962355,1.5108040532367648e-07,3.838027122596829e-05,7.071388093413392
TDRD15                   ,-1.0439810332310167,-3.8679342580968448,-3.2318888515272155,0.0019607177206800424,0.023659566472773765,-1.3880356416383863
TMEM215                  ,-1.1308167176169213,0.5733684781989411,-3.89695581861251,0.00023932068005223816,0.006044574148644599,0.44367435359401775
TMEM235                  ,1.006831623905617,2.5994689789379803,4.168803591623746,9.559296586226243e-05,0.003274589013519962,1.185823246505409
TRBJ2-1                  ,-1.2157668187922575,-3.1549218576696614,-5.228066668143026,2.086203055878462e-06,0.00023270915447102072,4.119940280384954
TRBV7-5                  ,-1.0102080035344527,-3.80572957155043,-3.788892409609811,0.00034167375200975326,0.007686154807900681,0.019264743933501194
TRC-GCA2-4               ,1.0689202507615412,-1.7796599123701922,4.782740021522577,1.0865354343864214e-05,0.0007225524799025506,2.9260916507172947
TRNV                     ,1.0643907600677949,0.866058755849581,4.822063149679024,9.412872665177673e-06,0.0006557951073849158,3.3634627597008153
ZNF729                   ,-1.0467796734934351,-3.1270217520139783,-3.441855924582138,0.0010334145286445585,0.01579530890032003,-0.8858229640765529
